Source,D:/Repositorios/PonchoDeBiopotenciales/Hardware/PonchoBiopotenciales.sch
Kicad Rev,Eeschema 4.0.2-stable
Generated Date,27/01/2018 11:55:42

Title,Poncho de Adquisición de Biopotenciales
Company,FIUNER
Revision,1.1
Date Issue,lun 05 oct 2015
Comment,Bruno Javier Cesario - Gonzalo Cuenca - Eduardo Filomena (FIUNER)

Reference,Value,Descripción,Fabricante,Nro de parte,Digikey,Footprint,Código Digikey,Library,Library Ref
G2,OSHWA,PonchoBiopotenciales,OSHWA
G1,Logo_Poncho,PonchoBiopotenciales,Logo_Poncho
R1,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
R2,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
R4,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
R3,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
C1,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C2,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C3,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C4,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C5,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C6,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C7,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C8,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C9,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C10,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C11,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C12,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C13,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C14,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C15,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C16,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
R13,2.2k,,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,311-2.2KARCT-ND,PonchoBiopotenciales,R_Small
R14,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
R16,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
R15,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
R17,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
R18,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
C17,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C18,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
U1,TPD2E001,TVS DIODE 5.5VWM 100VC SOT5,Texas Instruments,TPD2E001DRLR,296-21883-1-ND,SOT-553	,,PonchoBiopotenciales,TPD2E001
U2,TPD2E001,TVS DIODE 5.5VWM 100VC SOT5,Texas Instruments,TPD2E001DRLR,296-21883-1-ND,SOT-553	,,PonchoBiopotenciales,TPD2E001
U3,TPD2E001,TVS DIODE 5.5VWM 100VC SOT5,Texas Instruments,TPD2E001DRLR,296-21883-1-ND,SOT-553	,,PonchoBiopotenciales,TPD2E001
U4,TPD2E001,TVS DIODE 5.5VWM 100VC SOT5,Texas Instruments,TPD2E001DRLR,296-21883-1-ND,SOT-553	,,PonchoBiopotenciales,TPD2E001
U5,TPD2E001,TVS DIODE 5.5VWM 100VC SOT5,Texas Instruments,TPD2E001DRLR,296-21883-1-ND,SOT-553	,,PonchoBiopotenciales,TPD2E001
U6,TPD2E001,TVS DIODE 5.5VWM 100VC SOT5,Texas Instruments,TPD2E001DRLR,296-21883-1-ND,SOT-553	,,PonchoBiopotenciales,TPD2E001
U7,TPD2E001,TVS DIODE 5.5VWM 100VC SOT5,Texas Instruments,TPD2E001DRLR,296-21883-1-ND,SOT-553	,,PonchoBiopotenciales,TPD2E001
U8,TPD2E001,TVS DIODE 5.5VWM 100VC SOT5,Texas Instruments,TPD2E001DRLR,296-21883-1-ND,SOT-553	,,PonchoBiopotenciales,TPD2E001
U9,TPD2E001,TVS DIODE 5.5VWM 100VC SOT5,Texas Instruments,TPD2E001DRLR,296-21883-1-ND,SOT-553	,,PonchoBiopotenciales,TPD2E001
U15,TPD2E001,TVS DIODE 5.5VWM 100VC SOT5,Texas Instruments,TPD2E001DRLR,296-21883-1-ND,SOT-553	,,PonchoBiopotenciales,TPD2E001
R26,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
R25,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
C41,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
C42,1nF,CAP CER 1000PF 50V X7R 0805,Kemet,C0805C102K5RACTU,399-1147-1-ND,0805,,PonchoBiopotenciales,C
J1,20POS SIL VERTICAL PIN HEADER,20 Positions Header, Cuttable Connector 0.100" (2.54mm) Through Hole Tin,Harwin Inc.,M20-9992046,952-1902-ND,,,PonchoBiopotenciales,CONN_01X20
R12,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
R11,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
R10,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
R8,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
R7,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
R6,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
R5,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
R9,2.2k,RES SMD 2.2K OHM 5% 1/8W 0805,Yageo,RC0805JR-072K2L,311-2.2KARCT-ND,0805,,PonchoBiopotenciales,R_Small
U10,ADS1299,IC AFE 8-CH 24BIT 64TQFP,Texas Instruments,ADS1299IPAG,296-35009-ND,64-TQFP	,,PonchoBiopotenciales,ADS1299
C19,0.1uF,CAP CER 0.1UF 50V X7R 0805,Kemet,C0805C104J5RACTU,399-1171-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
C20,10uF,CAP CER 10UF 25V X5R 0805,Murata Electronics North America,GRM219R61E106KA12D,490-7207-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
C21,1uF,CAP CER 1UF 16V X7R 0805,Kemet,C0805C105K4RACTU,399-1284-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
C23,1uF,CAP CER 1UF 16V X7R 0805,Kemet,C0805C105K4RACTU,399-1284-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
C22,100uF,CAP CER 100UF 10V X5R 1210,Kemet,C1210C107M8PACTU,399-11631-1-ND,1210 (3225 Metric)	,,PonchoBiopotenciales,C
C24,0.1uF,CAP CER 0.1UF 50V X7R 0805,Kemet,C0805C104J5RACTU,399-1171-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
C25,1uF,CAP CER 1UF 16V X7R 0805,Kemet,C0805C105K4RACTU,399-1284-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
C26,0.1uF,CAP CER 0.1UF 50V X7R 0805,Kemet,C0805C104J5RACTU,399-1171-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
C27,1uF,CAP CER 1UF 16V X7R 0805,Kemet,C0805C105K4RACTU,399-1284-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
C28,0.1uF,CAP CER 0.1UF 50V X7R 0805,Kemet,C0805C104J5RACTU,399-1171-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
C29,1uF,CAP CER 1UF 16V X7R 0805,Kemet,C0805C105K4RACTU,399-1284-1-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,C
R19,0,RES SMD 0 OHM JUMPER 1/8W 0805,Yageo,RC0805JR-070RL,311-0.0ARCT-ND,0805 (2012 Metric)	,,PonchoBiopotenciales,R_Small
